Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Calcium (mg),Potassium (mg),Iron (mg),Allergens,Contains Barley,Contains Egg,Contains Milk,Contains Mustard,Contains Oats,Contains Soy,Contains Sulphites,Contains Tree Nuts,Contains Wheat
Burgers,Angus Burger,157 g,410,23 g,6 g,1 g,50 mg,700 mg,32 g,1 g,3 g,18 g,75 mg,250 mg,3.5 mg,"Contains Soy, Wheat.",No,No,No,No,No,Yes,No,No,Yes
Burgers,Angus Burger with Cheese,174 g,470,27 g,8 g,1 g,60 mg,990 mg,34 g,1 g,4 g,21 g,175 mg,300 mg,3.5 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Angus Burger with Cheese and Bacon,187 g,520,31 g,10 g,1 g,75 mg,1170 mg,35 g,1 g,4 g,25 g,175 mg,350 mg,4 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Original Burger,145 g,380,20 g,6 g,1 g,50 mg,840 mg,33 g,1 g,3 g,17 g,75 mg,250 mg,3.5 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Original Burger with Cheese,162 g,440,24 g,8 g,1 g,60 mg,1130 mg,35 g,1 g,4 g,20 g,175 mg,300 mg,3.5 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Original Burger with Cheese and Bacon,175 g,490,28 g,10 g,1 g,70 mg,1310 mg,35 g,1 g,4 g,25 g,175 mg,350 mg,3.5 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Junior Burger,93 g,250,11 g,3 g,0.4 g,20 mg,450 mg,27 g,1 g,2 g,10 g,50 mg,125 mg,2.5 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Junior Burger with Cheese,110 g,300,15 g,6 g,0.5 g,30 mg,740 mg,29 g,1 g,3 g,13 g,150 mg,175 mg,2.5 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Junior Burger with Cheese and Bacon,119 g,340,17 g,6 g,0.5 g,45 mg,830 mg,29 g,1 g,3 g,16 g,175 mg,200 mg,2.5 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Big Harv (Angus),281 g,750,50 g,16 g,2 g,125 mg,1620 mg,39 g,2 g,5 g,36 g,300 mg,500 mg,5.5 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Big Harv (Original),257 g,690,44 g,16 g,2 g,120 mg,1890 mg,39 g,1 g,4 g,35 g,300 mg,550 mg,5 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Burgers,Veggie Burger,142 g,330,14 g,4.5 g,0.1 g,0 mg,680 mg,32 g,4 g,3 g,20 g,200 mg,300 mg,3.5 mg,"Contains Barley, Oats, Soy, Sulphites, Wheat.",Yes,No,No,No,Yes,Yes,Yes,No,Yes
Burgers,Veggie Burger with Cheese,159 g,390,18 g,7 g,0.2 g,15 mg,940 mg,34 g,4 g,4 g,23 g,300 mg,350 mg,3.5 mg,"Contains Barley, Milk, Oats, Soy, Sulphites, Wheat.",Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
Chicken / Hot Dog / Salads,Buffalo Chicken Sandwich,279 g,660,33 g,3.5 g,0.1 g,45 mg,2170 mg,66 g,2 g,20 g,25 g,75 mg,550 mg,3.5 mg,"Contains Mustard, Milk, Soy, Wheat.",No,No,Yes,Yes,No,Yes,No,No,Yes
Chicken / Hot Dog / Salads,Buffalo Chicken Wrap,318 g,800,40 g,6 g,0.2 g,45 mg,2510 mg,85 g,3 g,19 g,27 g,125 mg,550 mg,5 mg,"Contains Mustard, Milk, Soy, Wheat.",No,No,Yes,Yes,No,Yes,No,No,Yes
