category,item_name,caloric_value,Average serving size (g),Calories (cal),Protein (g),"Fat, total (g)","Fat, saturated (g)",Carbohydrate (g),"Carbohydrate, sugars (g)",Sodium (mg)
Menu > Zinger Drip,Zinger Drip Sandwich Box Meal (FCS),1400-2100 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Zinger Drip,Zinger Drip Sandwich Combo (FCS),1130-1420 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Zinger Drip,Zinger Drip Sandwich (FCS),820 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Zinger Drip,Zinger Drip Popcorn Bucket,1480 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Zinger Drip,Zinger Drip Hot Wings Bucket,960 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Zinger Drip,Zinger Drip Half Popcorn/Half Hot Wings Bucket,1140 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Zinger Drip,5PC Zinger Drip Hot Wings,480 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Zinger Drip,Regular Zinger Drip Popcorn,630 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Zinger Drip,Individual Zinger Drip Sauce,200 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Zinger Drip,Large Zinger Drip Sauce,200 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Value Menu,Snacker Wrap ,230 Cals/Person,94.0,230.0,10.0,11.0,2.0,20.0,2.0,530.0
Menu > Value Menu,Individual Popcorn Chicken,200 Cals/Person,86.0,200.0,9.0,9.0,1.0,20.0,10.0,360.0
Menu > Value Menu,KFC S’more Brownie,430 Cals/Person,99.0,430.0,5.0,19.0,4.5,60.0,36.0,120.0
Menu > Value Menu,Individual Fries,310 Cals/Person,113.0,310.0,5.0,13.0,1.0,45.0,1.0,470.0
Menu > Value Menu,Original Recipe Slider ,240 Cals/Person,104.0,240.0,13.0,10.0,0.5,25.0,3.0,540.0
Menu > Value Menu,Go Bucket - Snacker Wrap,540 Cals/Person,207.0,540.0,15.0,24.0,3.0,65.0,3.0,990.0
Menu > Value Menu,Go Bucket - 1 Drumstick ,450 Cals/Person,170.0,450.0,21.0,21.0,2.0,47.0,2.0,610.0
Menu > Value Menu,Go Bucket - Popcorn Chicken,530 Cals/Person,199.0,530.0,15.0,23.0,2.0,67.0,10.0,870.0
Menu > Value Menu,Go Bucket - 1 Piece Original Recipe Tenders,450 Cals/Person,186.0,450.0,15.0,17.0,1.5,60.0,10.0,820.0
Menu > Value Menu,Snack Poutine,570 Cals/Person,273.0,570.0,20.0,31.0,12.0,55.0,3.0,1350.0
Menu > Value Menu,Large Poutine,740 Cals/Person,344.0,740.0,24.0,38.0,12.0,78.0,3.0,1650.0
Menu > Value Menu,Large Popcorn Poutine,950 Cals/Person,414.0,950.0,35.0,50.0,13.0,93.0,3.0,2130.0
Menu > Limited Time Offers,Zinger Drip Feast,1030-1480 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Limited Time Offers,Family Bucket Feast,940-1440 Cals/Person,2554.0,5760.0,250.0,326.0,45.0,468.0,124.0,12790.0
Menu > Limited Time Offers,$4.49 Snacker Wrap Combo,540-860 Cals/Person,249.0,650.0,25.0,34.0,4.0,62.0,8.0,1300.0
Menu > Limited Time Offers,Family Bucket Meal,1020-1090 Cals/Person,1968.0,4790.0,210.0,267.0,34.0,397.0,82.0,10710.0
Menu > Limited Time Offers,$4.49 Popcorn Combo,460-1160 Cals/Person,249.0,650.0,25.0,34.0,4.0,62.0,8.0,1300.0
Menu > Limited Time Offers,$4.49 Slider Combo,550-870 Cals/Person,249.0,650.0,25.0,34.0,4.0,62.0,8.0,1300.0
Menu > Limited Time Offers,Family Bucket,1190-1290 Cals/Person,1472.0,3820.0,176.0,200.0,25.0,337.0,57.0,8640.0
Menu > Limited Time Offers,2 Can Dine for $12.99 (COB),770-880 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Limited Time Offers,2 Can Dine for $12.99 (Tenders),660 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
Menu > Original Recipe Buckets,6 Piece Bucket and 2 Large Sides,750-2070 Cals/Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menu > Original Recipe Buckets,10 Piece Bucket and 3 Large Sides,250-550 Cals/Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menu > Original Recipe Buckets,14 Piece Bucket and 4 Large Sides,540-1040 Cals/Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menu > Original Recipe Buckets,18 Piece Bucket and 5 Large Sides,7060 Cals,3602.0,7060.0,425.0,402.0,60.0,502.0,108.0,13190.0
Menu > Original Recipe Buckets,10 Tenders Bucket and 3 Large Sides,350-1100 Cals/Person,1940.0,3330.0,130.0,145.0,17.0,388.0,106.0,8940.0
