Category,Item,Serving Weight (g),Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugar (g),Protein (g),Contains Milk,Contains Eggs,Contains Fish,Contains Peanuts,Contains Shellfish,Contains Tree Nuts,Contains Soy,Contains Wheat,Contains Mustard,Contains Sesame,Contains Celery,Contains Lupin,Contains Gluten,Contains Sulphur Dioxide
Flame Grilled,Whopper®,183.261,515,24.398,9.8,1.35,87.5,540.984,43.484,4,9,32.248,No,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,No
Flame Grilled,Whopper® with Cheese,191.517,595,31.398,13.8,1.85,107.5,810.984,44.484,4,10,36.248,Contains,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,Contains
Flame Grilled,Whopper® with Bacon,209.261,647,33.45,12.8,1.35,117.5,1011.5,44,4,9,42.3,No,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,Contains
Flame Grilled,Whopper® with Bacon and Cheese,191.517,565,27.064,11.466,1.516,95.833,634.317,44.484,4,10,33.581,Contains,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,Contains
Flame Grilled,Double Whopper®,259.067,815,46.398,18.8,2.45,172.5,620.984,43.484,4,9,56.248,No,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,No
Flame Grilled,Triple Whopper®,468.293,1105,67.398,28.8,3.65,257.5,690.984,44.484,4,9,80.248,No,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,No
Flame Grilled,Bacon King™,323.602,1150,72.9,33,3.45,252.5,1915,43,3,6,80.75,Contains,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,May Contain
Flame Grilled,BBQ Bacon King™,323.602,900,52.9,23.899,2.75,192.5,980,45,3,9,60.75,Contains,Contains,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,May Contain
Flame Grilled,Roadhouse King™,369.529,100,1.566,10.566,1.316,95.832,-996.667,-14,-2,-5,27.083,Contains,Contains,May Contain,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,May Contain
Flame Grilled,Quarter Pound King™,206.942,600,31.598,14.9,1.5,105,907.944,43.98,3,9,36.598,Contains,No,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,No
Flame Grilled,Double Quarter Pound King™,323.602,980,60.6,27.9,3,205,1339,46,3,10,65.6,Contains,No,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,No
Flame Grilled,Impossible™ Whopper®,307.174,467,17.45,8.8,-0.05,2.5,781.5,51,6,10,27.3,No,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,May Contain
Flame Grilled,BBQ Bounty Whopper®,,522,24.416,9.566,1.166,88.333,545.833,44,4,8,31.983,Contains,Contains,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,Contains
Flame Grilled,Big King Jr.,,313,18.775,6.95,0,30,503.25,26,1,5,11.775,Contains,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,No
Flame Grilled,Classic Melt,163.854,549,32.892,13.892,0.8,85,747.857,36.785,3,8.857,27.892,Contains,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,No
Flame Grilled,Bacon Melt,163.854,539,31.392,13.392,0.75,174,677.857,37.785,3,8.857,25.892,Contains,Contains,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,No
Flame Grilled,Angry Melt,177.174,480,27.692,12.692,0.8,80,527.857,30.785,2,4.857,29.692,Contains,Contains,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,No
Flame Grilled,Whopper® Jr.,92.707,250,11.699,4.4,0.925,36.25,195.492,21.742,2,3,14.624,No,Contains,No,No,No,No,Contains,Contains,No,Contains,No,No,Contains,No
Flame Grilled,Roadhouse Burger,104.462,406.81,21.657,8.342,0.9,75.19,319.795,30.762,1.425,3.485,23.06,No,No,No,No,No,No,No,Contains,Contains,Contains,No,No,No,No
Flame Grilled,Bacon Double Cheeseburger,161.389,396,25.1,11.7,1.35,52.5,779.166,24.026,1,4.02,19.35,Contains,No,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,No
Flame Grilled,Double Cheeseburger,149.549,456,27.85,12.95,1.5,90,594.166,23.026,1,3.02,29.85,Contains,No,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,Contains
Flame Grilled,Bacon Cheeseburger,104.549,286,14.35,6.45,0.9,45,384.166,22.026,1,3.02,16.85,Contains,No,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,Contains
Flame Grilled,Cheeseburger,104.549,286,14.85,6.95,1,45,384.166,22.026,1,3.02,16.85,Contains,No,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,Contains
Flame Grilled,Hamburger,92.709,246,11.85,3.95,0.5,35,204.166,21.026,1,2.02,14.85,No,No,No,No,No,No,Contains,Contains,Contains,Contains,No,No,Contains,Contains
Chicken & Fish,Deluxe Crispy Chicken Sandwich,263.51,483,16.7,3.85,0.6,60,1438,57.5,5,9.5,28.5,Contains,Contains,May Contain,No,No,No,Contains,Contains,No,Contains,No,No,Contains,Contains
Chicken & Fish,Spicy Deluxe Crispy Chicken Sandwich,284.51,533,20.7,3.85,0.6,70,1358,61.5,5,9.5,30.5,Contains,Contains,May Contain,No,No,No,Contains,Contains,No,Contains,No,No,Contains,Contains
Chicken & Fish,Roadhouse Crispy Chicken Sandwich,247.605,580.67,25.613,7.556,0.023,65.273,1884.163,63.81,2.67,8.02,24.783,Contains,Contains,No,No,No,No,Contains,Contains,Contains,No,No,No,No,No
Chicken & Fish,Crispy Chicken Sandwich,177.999,435,13.85,1.95,0.3,50,1268.5,56.5,5,9.5,26.65,Contains,Contains,May Contain,No,No,No,Contains,Contains,No,Contains,No,No,Contains,May Contain
Chicken & Fish,Spicy Crispy Chicken Sandwich,198.999,468.43,18.84,2.375,0.07,45.19,1176.71,55.075,1.79,6.77,21.435,No,Contains,No,No,No,No,Contains,Contains,No,No,No,No,No,No
Chicken & Fish,Original Chicken Sandwich,222.024,458,18.9,3,0.8,55,1099,49,3,7,22.7,Contains,Contains,May Contain,No,No,No,Contains,Contains,No,Contains,No,No,Contains,No
