Category,Product Name,Serving Size (g),Weight Per Slice (g),Serving Size,Calories (Cals),Protein (g),Carbs (g),Fibre (g),Sugars (g),Total Fat (g),Sat. Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (% DV),Calcium (% DV),Iron (% DV)
Small,Pepperoni Pizza,,,Per slice,210,10,24,1,3,8,35,0.3,20,520,3%,12%,10%
Small,Ultimate Pepperoni Pizza,,,Per slice,,,,,,,,,,,,,
Small,Meat Supreme Pizza,,,Per slice,250,13,24,1,3,11,45,0.2,35,760,,15%,15%
Small,Tropical Hawaiian Pizza,,,Per slice,220,11,25,1,5,9,4,0.2,25,570,,15%,15%
Small,Canadian Eh! Pizza,,,Per slice,220,12,24,1,4,9,4,0.2,30,610,,15%,15%
Small,Buffalo Chicken Pizza,,,Per slice,220,11,24,1,3,9,35,0.2,25,640,,15%,10%
Small,Spicy BBQ Chicken Pizza,,,Per slice,210,11,28,1,7,6,3,0.2,25,600,,15%,15%
Small,Classic Super Pizza,,,Per slice,200,10,24,1,4,7,35,0.2,25,520,,15%,15%
Small,Bacon Double Cheeseburger Pizza,,,Per slice,230,11,24,1,3,9,4,0.2,25,580,,15%,15%
Small,Chicken Bruschetta Pizza,,,Per slice,210,12,25,1,4,7,3,0.2,25,570,,15%,15%
Small,Sausage Mushroom Melt Pizza,,,Per slice,250,11,23,1,3,13,35,0.3,25,550,,15%,10%
Small,Hot Honey,,,Per slice,,,,,,,,,,,,,
Small,Butter Chicken Pizza,,,Per slice,,,,,,,,,,,,,
Small,Classic Cheese Pizza,,,Per slice,180,9,24,1,3,5,25,0.2,10,410,2%,12%,8%
Small,Garden Veggie Pizza,,,Per slice,170,10,23,3,4,5,25,0.2,15,310,,15%,10%
Small,Mediterranean Vegetarian Pizza,,,Per slice,210,10,25,2,4,7,35,0.2,20,570,,15%,15%
Small,Creamy Garlic Pizza,,,Per slice,240,9,24,1,2,13,4,0.2,15,320,,20%,10%
Small,Pesto Amore Pizza,,,Per slice,210,11,24,4,3,8,35,0.2,20,340,,15%,10%
Small,Plant-Based Pepperoni Pizza,,,Per slice,200,9,25,1,3,7,3,0.2,10,480,3%,12%,10%
Small,Creamy Mushroom Florentine Pizza,,,Per slice,,,,,,,,,,,,,
Medium,Medium Donair Pizza,,,Per Slice,235,11,30,0,7,8,3,0,25,410,,9%,17%
Medium,Pepperoni Pizza,,,Per slice,210,10,25,1,3,8,35,0.3,20,520,3%,12%,10%
Medium,Ultimate Pepperoni Pizza,,,Per slice,,,,,,,,,,,,,
Medium,Meat Supreme Pizza,,,Per slice,260,14,26,1,4,11,45,0.2,35,800,,15%,15%
Medium,Tropical Hawaiian Pizza,,,Per slice,230,11,26,1,5,9,4,0.2,25,580,,15%,15%
Medium,Canadian Eh! Pizza,,,Per slice,230,12,26,1,4,9,4,0.2,30,630,,15%,15%
Medium,Buffalo Chicken Pizza,,,Per slice,230,11,25,1,3,9,35,0.2,25,640,,15%,10%
Medium,Spicy BBQ Chicken Pizza,,,Per slice,220,11,30,1,7,6,25,0.2,25,600,,15%,15%
Medium,Classic Super Pizza,,,Per slice,210,11,26,1,4,8,35,0.2,25,540,,15%,15%
Medium,Bacon Double Cheeseburger Pizza,,,Per slice,230,11,25,1,3,9,4,0.2,25,590,,10%,15%
Medium,Chicken Bruschetta,,,Per slice,210,12,27,1,4,6,3,0.1,25,590,,15%,15%
Medium,Sausage Mushroom Melt Pizza,,,Per slice,250,11,24,1,3,12,35,0.2,20,570,,15%,15%
Medium,Hot Honey,,,Per slice,,,,,,,,,,,,,
Medium,Butter Chicken Pizza,,,Per slice,,,,,,,,,,,,,
Medium,Classic Cheese Pizza,,,Per slice,180,9,25,1,3,5,25,0.2,10,420,3%,12%,8%
Medium,Garden Veggie Pizza,,,Per slice,180,10,25,4,4,5,25,0.1,15,310,,15%,10%
Medium,Mediterranean Vegetarian Pizza,,,Per slice,220,10,27,2,4,8,35,0.2,20,620,,15%,15%
Medium,Creamy Garlic Pizza,,,Per slice,240,9,25,1,2,12,35,0.2,15,330,,15%,10%
Medium,Pesto Amore Pizza,,,Per slice,210,11,25,4,3,8,35,0.2,20,340,,15%,10%
Medium,Plant-Based Pepperoni Pizza,,,Per slice,200,9,26,2,3,7,25,0.2,10,480,3%,12%,10%
Medium,Creamy Mushroom Florentine Pizza,,,Per slice,,,,,,,,,,,,,
Medium,Medium Classic Stuffed Crust Pizza,,,Per Slice,251,13,26,1,3,11,5,0,31,618,,26%,15%
Medium,Medium Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,235,24,28,1,3,10,11,1,31,588,,23%,15%
Medium,Medium Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,185,8,25,1,3,6,3,0,19,445,,15%,15%
Large,Large Donair Pizza,,,Per Slice,269,7,42,0,7,9,4,0,14,414,,6%,19%
Large,Pepperoni Pizza,,,Per slice,250,12,29,1,3,9,4.5,0.3,20,590,3%,15%,11%
Large,Ultimate Pepperoni Pizza,,,Per slice,,,,,,,,,,,,,
Large,Meat Supreme Pizza,,,Per slice,290,16,29,1,4,12,5,0.2,40,890,,15%,15%
Large,Tropical Hawaiian Pizza,,,Per slice,260,13,30,1,5,10,4.5,0.2,30,650,,15%,15%
Large,Canadian Eh! Pizza,,,Per slice,270,14,29,1,4,10,4.5,0.2,35,690,,15%,15%
Large,Buffalo Chicken Pizza,,,Per slice,260,13,29,2,4,10,4,0.2,25,730,,15%,15%
Large,Spicy BBQ Chicken Pizza,,,Per slice,250,13,33,2,7,7,3.5,0.2,25,680,,15%,15%
Large,Classic Super Pizza,,,Per slice,250,13,29,1,4,9,4,0.2,30,610,,15%,15%
Large,Bacon Double Cheeseburger Pizza,,,Per slice,260,13,29,1,3,11,4.5,0.2,25,650,,15%,15%
Large,Chicken Bruschetta,,,Per slice,250,14,30,2,4,8,4,0.2,30,680,,20%,15%
Large,Sausage Mushroom Melt Pizza,,,Per slice,290,13,28,1,3,14,4,0.3,25,660,,15%,15%
Large,Hot Honey,,,Per slice,,,,,,,,,,,,,
Large,Butter Chicken Pizza,,,Per slice,,,,,,,,,,,,,
Large,Classic Cheese Pizza,,,Per slice,220,10,29,1,3,7,3,0.2,15,480,3%,15%,10%
Large,Garden Veggie Pizza,,,Per slice,210,12,28,4,4,6,3.5,0.2,20,350,,15%,10%
Large,Mediterranean Vegetarian Pizza,,,Per slice,260,13,31,2,5,10,5,0.2,25,730,,20%,20%
Large,Creamy Garlic Pizza,,,Per slice,290,11,29,2,2,14,4.5,0.3,20,380,,20%,15%
Large,Pesto Amore Pizza,,,Per slice,250,13,29,4,4,10,4,0.2,25,410,,20%,10%
Large,Plant-Based Pepperoni Pizza,,,Per slice,230,11,30,2,3,8,3.5,0.2,15,550,4%,15%,11%
Large,Creamy Mushroom Florentine Pizza,,,Per slice,,,,,,,,,,,,,
Large,Large Classic Stuffed Crust Pizza,,,Per Slice,320,45,334,6,63,57,5,3,857,8989,,47%,119%
Large,Large Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,303,56,337,6,63,56,10,3,857,8950,,45%,120%
Large,Large Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,303,56,334,6,63,56,5,3,857,8926,,45%,120%
X-Large,X-Large Donair Pizza,,,Per Slice,284,13,38,0,7,9,4,0,30,499,,11%,21%
X-Large,Pepperoni Pizza,,,Per slice,260,12,32,2,4,9,4,0.3,20,620,4%,13%,13%
X-Large,Ultimate Pepperoni Pizza,,,Per slice,280,14,33,2,5,11,45,0.2,30,780,,15%,15%
X-Large,Meat Supreme Pizza,,,Per slice,310,16,33,2,4,13,5,0.2,40,950,,15%,20%
X-Large,Tropical Hawaiian Pizza,,,Per slice,280,13,34,2,6,11,45,0.2,30,710,,15%,15%
X-Large,Canadian Eh! Pizza,,,Per slice,280,14,33,2,4,11,45,0.2,35,750,,15%,20%
X-Large,Buffalo Chicken Pizza,,,Per slice,280,13,32,2,4,10,4,0.2,25,750,,15%,15%
X-Large,Spicy BBQ Chicken Pizza,,,Per slice,270,14,37,2,8,7,3,0.2,25,720,,15%,15%
X-Large,Classic Super Pizza,,,Per slice,260,13,33,2,5,9,4,0.2,30,650,,15%,20%
X-Large,Bacon Double Cheeseburger Pizza,,,Per slice,290,14,33,1,4,11,45,0.2,25,710,,15%,20%
X-Large,Chicken Bruschetta,,,Per slice,280,16,34,2,5,9,4,0.2,30,750,,20%,15%
X-Large,Sausage Mushroom Melt Pizza,,,Per slice,300,13,31,1,3,14,4,0.3,25,690,,15%,15%
X-Large,Hot Honey,,,Per slice,,,,,,,,,,,,,
X-Large,Butter Chicken Pizza,,,Per slice,,,,,,,,,,,,,
X-Large,Classic Cheese Pizza,,,Per Slice,230,11,32,2,4,7,3,0.2,15,520,3%,13%,11%
X-Large,Garden Veggie Pizza,,,Per Slice,220,12,32,5,4,6,3,0.2,20,370,,15%,15%
X-Large,Mediterranean Vegetarian Pizza,,,Per Slice,280,13,35,2,5,10,5,0.2,25,810,,20%,20%
X-Large,Creamy Garlic Pizza,,,Per Slice,300,12,32,2,3,14,45,0.3,15,420,,20%,15%
X-Large,Pesto Amore Pizza,,,Per Slice,260,13,32,5,4,10,4,0.2,25,430,,20%,15%
X-Large,Plant-Based Pepperoni Pizza,,,Per Slice,250,12,33,2,4,8,3,0.2,15,580,4%,13%,13%
X-Large,Creamy Mushroom Florentine Pizza,,,Per Slice,,,,,,,,,,,,,
X-Large,X-Large Classic Stuffed Crust Pizza,,,Per Slice,300,14,32,1,4,13,6,0,35,730,,28%,19%
X-Large,X-Large Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,280,25,35,1,4,11,11,1,35,686,,26%,19%
X-Large,X-Large Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,280,25,32,1,4,11,5,0,35,662,,26%,19%
XXL,XXL Cheese Pizza,,,Per Slice,450,21,63,3,7,13,6,0.4,30,1010,6%,27%,22%
XXL,XXL Pepperoni Pizza,,,Per Slice,520,24,63,3,7,19,8,0.5,45,1250,7%,27%,25%
XXL,XXL Classic Stuffed Crust Pizza,,,Per Slice,498,16,48,2,5,28,8,0,35,1227,,28%,28%
XXL,XXL Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,430,41,53,2,5,17,18,1,55,1057,,41%,29%
XXL,XXL Spicy Habanero Cheese Stuffed Crust Pizza,,,Per Slice,430,41,49,2,5,17,9,0,55,1017,,41%,29%
Stuffed Crust,Medium Classic Stuffed Crust Pizza,,,Per Slice,251,13,26,1,3,11,5,0,31,618,,26%,15%
Stuffed Crust,Medium Dill Pickle Cheese Stuffed Crust Pizza,,,Per Slice,235,24,28,1,3,10,11,1,31,588,,23%,15%
