Category,Item,Energy (kcal),Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fibre (g),Protein (g),Salt (g),Celery,Egg,Fish,Gluten (Barley),Gluten (Rye),Milk,Mustard,Soy,Wheat,Sesame
HAMBURGERS & CHICKEN,Dave's Single,524,29,10,37,8.2,1.7,28,2.2,,,,✓,,,✓,,✓,✓
HAMBURGERS & CHICKEN,Dave's Double,879,56,22,39,9.7,1.7,54,4.4,,,,✓,,,✓,,✓,✓
HAMBURGERS & CHICKEN,Dave's Triple,1195,80,33,41,10,1.7,77,6.1,,,,✓,,,✓,,✓,✓
HAMBURGERS & CHICKEN,Baconator,1001,66,26,38,8.5,1.7,63,5.8,,,,✓,,,✓,,✓,✓
HAMBURGERS & CHICKEN,Curry Bean Burger,535,25,7,57,9,7,17,2.8,,,,✓,,,✓,,✓,✓
HAMBURGERS & CHICKEN,Spicy Chicken,400,15,2.4,45,6.3,2.4,20,2.2,,,,✓,,,✓,,✓,✓
HAMBURGERS & CHICKEN,Classic Chicken,404,15,2.5,46,6.4,2.5,20,2.5,,,,✓,,✓,✓,,✓,✓
HAMBURGERS & CHICKEN,Grilled Chicken,337,10,1.2,35,6.4,1.7,26,1.6,,,,✓,,,✓,,✓,✓
HAMBURGERS & CHICKEN,Avocado Chicken Club,583,30,8.7,47,6.5,2.4,30,3.4,,,,✓,,✓,✓,,✓,✓
HAMBURGERS & CHICKEN,4 Pc Chicken Nuggets,114,5.6,1.4,4.9,0,0,11,0.93,,,,✓,,,✓,,✓,
HAMBURGERS & CHICKEN,6 Pc Chicken Nuggets,173,8.4,2.1,7.4,0,0,17,1.4,,,,✓,,,✓,,✓,
HAMBURGERS & CHICKEN,10 Pc Chicken Nuggets,286,14,3.4,12,0,0,28,2.3,,,,✓,,,✓,,✓,
HAMBURGERS & CHICKEN,20 Pc Chicken Nuggets,572,28,6.9,25,0,0,55,4.6,,,,✓,,,✓,,✓,
HAMBURGERS & CHICKEN,4 Pc Spicy Chicken Nuggets,99,2.8,0.5,6.5,0,0,12,0.37,,,,✓,,,✓,,✓,
