Item,Peanuts,Tree Nuts,Sesame,Milk,Eggs,Fish,Crustaceans,Shellfish,Soy,Wheat,Mustard,Sulphites,Gluten
--- PIZZA CRUSTS ---,,,,,,,,,,,,
Yellow Corn Meal,,,,MC,C,,,,MC,,MC,MC,
Hand Tossed Crust,,,,C,,,,,MC,C,,,C
Thin Crust,,,,MC,,,,,MC,C,,,C
Gluten Free Crust,,,,MC,,,,,MC,,,MC,
Pan Crust,,,,C,,,,,C,C,,,C
Whole Grain Crust,,,,C,,,,,C,C,,,C
New York Style Crust,,,,C,,,,,MC,C,,,C
Parmesan Stuffed Crust,,,,C,,,,,C,C,MC,,C
--- PIZZA SAUCES ---,,,,,,,,,,,,
Pizza Sauce,,,,,,,,,MC,C,,,MC
BBQ Sauce,,,,,,,,,MC,C,MC,,C
Buttermilk Ranch,MC,MC,C,C,MC,MC,MC,MC,MC,MC,MC,MC,
Alfredo Sauce,,,,C,,,,,C,C,,,C
Garlic Parmesan Sauce,MC,MC,C,C,MC,MC,MC,MC,MC,MC,MC,MC,
Hearty Marinara Sauce,,,,C,,,,,MC,,MC,,
Donair Sauce*,,,,C,,,,,MC,MC,MC,MC,
--- TOPPINGS ---,,,,,,,,,,,,
Anchovies,,,,,,C,,,,,,,
Bacon Strip Crumble,,,,,,,,,MC,,,,
Hot Banana Peppers,,,,,,,,,,,,,C
Beef Crumble,,,,,,,,,C,,,,
Salami,MC,,,MC,,,,,MC,C,,,
Chicken (Grilled),MC,,MC,MC,,,,,MC,C,,MC,
Green Peppers,,,,,,,,,,,,,
Ham,,,,,,,,,,,,,
Liquid Egg,,,,,C,,,,,,,,
Mushrooms,,,,,,,,,,,,,
Olives (Black),,,,,,,,,,,,,
Donair Meat*,MC,,,MC,,,,,,C,MC,,ZC
Olives (Green),,,,,,,,,,,,,
Onions,,,,,,,,,,,,,
Oregano,MC,MC,MC,MC,MC,MC,,,,,MC,,
Brooklyn Pepperoni,MC,,,MC,,,,,MC,C,,MC,
Pepperoni,MC,,,MC,,,,,MC,C,,MC,
Butter Flavoured Oil (Phase Oil),,,,,,,,,C,,,,
Philly Steak Pizza Topping,,,,,,,,,C,,C,,
Pineapple,,,,,,,,,,,,,
Italian Sausage,,,,,,,,,,,,,
Tomatoes,,,,,,,,,,,,,
Crushed Red Pepper Packets,MC,,,,,,,,,,,,
Spinach,,,,,,,,,,,,,
Roasted Red Peppers,,,,,,,,,,,,,
Jalapeño Peppers,,,,,,,,,,C,,,
--- CHEESES ---,,,,,,,,,,,,
Cheese Blend,,,,C,,,,,,,,,
Cheese (Pizza),,,,C,,,,,,,,,
Cheddar Cheese,,,,C,,,,,,,,,
Feta Cheese,,,,C,,,,,,,,,
Parmesan & Asiago Cheese,,,,C,,,,,,,,,
Provolone,,,,C,,,,,,,,,
White Cheddar Slices,,,,C,,,,,C,,,,
--- BREADS ---,,,,,,,,,,,,
Breadsticks,MC,,,C,,,,,MC,C,,,C
Cinna Stix,MC,,,C,,,,,MC,C,,,C
Cheesy Bread,MC,,,C,,,,,MC,C,,,C
Cheesy Garlic Fingers,,,,C,,,,,MC,C,,,C
Bacon Garlic Fingers,,,,C,,,,,MC,C,,,C
Parmesan Bread Bites,MC,,,C,,,,,MC,C,,,C
Stuffed Cheesy Bread - Cheese,MC,,,C,,,,,,C,,,C
Stuffed Cheesy Bread - Pepperoni,MC,,,C,,,,,,C,,,C
Stuffed Cheesy Bread - Philly Steak,MC,,,C,,,,,,C,,,C
Stuffed Cheesy Bread - Bacon Jalapeño,MC,,,C,,,,,,C,,,C
Stuffed Cheesy Bread - Spinach & Feta,MC,,,C,,,,,,C,,,C
--- PASTA ---,,,,,,,,,,,,
Pasta Chicken Alfredo,,,,C,,,,,MC,C,,,C
Pasta Chicken Carbonara,,,,C,,,,,MC,C,,,C
