Category,Item,Peanuts,Tree Nuts,Sesame,Milk,Eggs,Fish,Crustaceans,Shellfish,Soy,Wheat,Mustard,Sulphites,Gluten
CHEESES,CHEESE BLEND,,,,C,,,,,,,,,
CHEESES,CHEESE (PIZZA),,,,C,,,,,,,,,
CHEESES,CHEDDAR CHEESE,,,,C,,,,,,,,,
CHEESES,CHEESE (FETA),,,,C,,,,,,,,,
CHEESES,PARMESAN & ASIAGO CHEESE,,,,C,,,,,,,,,
CHEESES,PROVOLONE,,,,C,,,,,,,,,
CHEESES,WHITE CHEDDAR SLICES,,,,C,,,,,C,,,,
PASTA,PASTA CHICKEN ALFREDO,,,,C,MC,,,,C,C,MC,C,C
PASTA,PASTA CHICKEN CARBONARA,,,,C,MC,,,,C,C,MC,C,C
PASTA,PASTA ITALIAN SAUSAGE MARINARA,,,,C,MC,,,,MC,C,,C,C
PASTA,PASTA PRIMAVERA,,,,C,MC,,,,C,C,,MC,C
SPECIALTY CHICKEN,SPECIALTY CHICKEN - CLASSIC HOT BUFFALO,,MC,MC,C,C,MC,MC,MC,MC,C,MC,MC,C
SPECIALTY CHICKEN,SPECIALTY CHICKEN - CRISPY BACON & TOMATO,,MC,MC,C,C,MC,MC,MC,MC,C,MC,MC,C
SPECIALTY CHICKEN,SPECIALTY CHICKEN - SPICY JALAPEÑO & PINEAPPLE,,MC,MC,C,,MC,MC,MC,MC,C,MC,MC,C
SPECIALTY CHICKEN,SPECIALTY CHICKEN - SWEET BBQ BACON,,,,C,,MC,,,C,C,C,C,C
SPECIALTY CHICKEN,SPECIALTY CHICKEN - CHICKEN PARMESAN,,,,C,,MC,,,C,C,C,C,C
DIPPING SAUCES,HONEY GARLIC SAUCE,,,MC,MC,MC,MC,,,C,MC,C,C,MC
DIPPING SAUCES,CAYENNE HOT SAUCE (FRANKS),,,,,,,,,,,,,
DIPPING SAUCES,SWEET MANGO HABANERO SAUCE,,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
DIPPING SAUCES,MARINARA SAUCE,,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
DIPPING SAUCES,BBQ DIP CUP,,MC,MC,MC,MC,MC,MC,MC,MC,MC,C,MC,MC
DIPPING SAUCES,RANCH DIP CUP,,MC,MC,C,C,MC,MC,MC,MC,MC,MC,MC,MC
DIPPING SAUCES,ROASTED GARLIC DIP CUP,,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,C
DIPPING SAUCES,SWEET ICING DIP CUP,,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
DIPPING SAUCES,HOT SAUCE DIP CUP,,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
DIPPING SAUCES,CHEDDAR HABANERO DIP CUP,,,MC,C,C,,,,MC,MC,MC,,MC
DIPPING SAUCES,GARLIC SPREAD,,,,C,,,,,C,,,C,
DIPPING SAUCES,FRENCH FRIES,,,,,,,,,,C,,MC,
DIPPING SAUCES,SAPUTO BUTTER CUP,,,,C,,,,,,,,,
CHICKEN,BBQ WINGS,,,,,,,,,C,,C,MC,
CHICKEN,BONELESS CHICKEN,,,,,,,,,MC,C,MC,,C
FEAST PIZZA,BBQ FEAST PIZZA,,,,C,MC,,,,C,C,C,C,C
FEAST PIZZA,BROOKLYN FEAST PIZZA,,,,C,,,,,C,C,C,MC,C
FEAST PIZZA,BUFFALO CHICKEN FEAST PIZZA,,,,C,,,,,C,C,,C,C
FEAST PIZZA,CANADIAN FEAST PIZZA,,,,C,,,,,C,C,C,MC,C
FEAST PIZZA,CHICKEN BACON ALFREDO FEAST PIZZA,,,,C,MC,,,,C,C,MC,C,C
FEAST PIZZA,CHICKEN BACON RANCH FEAST PIZZA,,MC,MC,C,C,MC,MC,MC,MC,C,MC,C,C
FEAST PIZZA,DELUXE FEAST PIZZA,,,,C,,,,,C,C,C,MC,C
FEAST PIZZA,DOMINO'S 6 CHEESE,,,,C,,,,,C,C,,,C
FEAST PIZZA,EXTRAVAGANZA FEAST PIZZA,,,,C,,,,,C,C,C,MC,C
FEAST PIZZA,HAWAIIAN FEAST PIZZA,,,,C,,,,,C,C,,MC,C
FEAST PIZZA,MEATZZA FEAST PIZZA,,,,C,,,,,C,C,C,MC,C
FEAST PIZZA,PEPPERONI FEAST PIZZA,,,,C,,,,,C,C,C,MC,C
FEAST PIZZA,PHILLY STEAK FEAST PIZZA,,,,C,,,,,C,C,,C,C
FEAST PIZZA,VEGGIE FEAST PIZZA,,,,C,,,,,C,C,,MC,C
FEAST PIZZA,PACIFIC VEGGIE FEAST PIZZA,,,MC,C,MC,,,,C,C,C,MC,C
FEAST PIZZA,SPINACH & FETA FEAST PIZZA,,,,C,,,,,C,C,,MC,C
