Category,Pizza Size,Crust/Item,Component Type,Component Name,Serving Size,Weight (g),Calories,Calories from Fat,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Total Sugars (g),Protein (g)
6" PERSONAL,Personal,Hand Tossed,Crust,Hand Tossed,1/2 of pizza,72,180,20,2.5,0,0,0,180,33,1,1,6
6" PERSONAL,Personal,Hand Tossed,Sauce,Pizza Sauce,per serving,14,5,0,0,0,0,0,50,1,0,1,0
6" PERSONAL,Personal,Hand Tossed,Sauce,BBQ Sauce,per serving,11,20,0,0,0,0,0,135,4,0,4,0
6" PERSONAL,Personal,Hand Tossed,Sauce,Hearty Marinara,per serving,14,10,0,0,0,0,0,90,1,0,1,0
6" PERSONAL,Personal,Hand Tossed,Cheese Only,Light Cheese,per serving,11,30,20,2,1.5,0,5,65,1,0,0,3
6" PERSONAL,Personal,Hand Tossed,Cheese Only,Regular Cheese,per serving,25,70,45,5,3,0,15,150,1,0,0,6
6" PERSONAL,Personal,Hand Tossed,Cheese Only,Extra Cheese,per serving,25,70,45,5,3,0,15,150,1,0,0,6
6" PERSONAL,Personal,Hand Tossed,Cheese Only,Double Cheese,per serving,35,100,60,7,4.5,0,25,210,2,0,0,9
6" PERSONAL,Personal,Hand Tossed,Cheese Only,Triple Cheese,per serving,46,130,80,9,6,0,30,270,2,0,0,11
6" PERSONAL,Personal,Hand Tossed,Cheese With Toppings,Light Cheese,per serving,11,30,20,2,1.5,0,5,65,1,0,0,3
6" PERSONAL,Personal,Hand Tossed,Cheese With Toppings,Regular Cheese,per serving,18,50,30,3.5,2,0,10,105,1,0,0,4
6" PERSONAL,Personal,Hand Tossed,Cheese With Toppings,Extra Cheese,per serving,25,70,45,5,3,0,15,150,1,0,0,6
6" PERSONAL,Personal,Hand Tossed,Cheese With Toppings,Double Cheese,per serving,35,100,60,7,4.5,0,25,210,2,0,0,9
6" PERSONAL,Personal,Hand Tossed,Cheese With Toppings,Triple Cheese,per serving,46,130,80,9,6,0,30,270,2,0,0,11
6" PERSONAL,Personal,Hand Tossed,1-Topping,White Processed Cheddar Cheese,per serving,7,25,15,2,1,0,5,140,1,0,0,1
6" PERSONAL,Personal,Hand Tossed,1-Topping,Bacon Strip Crumble,per serving,7,30,20,2,0.5,0,5,130,0,0,0,3
6" PERSONAL,Personal,Hand Tossed,1-Topping,Beef Crumble,per serving,7,20,20,2,1,0,5,55,0,0,0,1
6" PERSONAL,Personal,Hand Tossed,1-Topping,Black Olives,per serving,4.5,5,0,0.5,0,0,0,0,0,0,0,0
6" PERSONAL,Personal,Hand Tossed,1-Topping,Cheddar Cheese,per serving,7,30,20,2.5,1.5,0,5,50,0,0,0,2
6" PERSONAL,Personal,Hand Tossed,1-Topping,Chicken,per serving,7,10,0,0,0,0,5,40,0,0,0,1
6" PERSONAL,Personal,Hand Tossed,1-Topping,Feta Cheese,per serving,7,20,15,1.5,1,0,5,115,0,0,0,1
6" PERSONAL,Personal,Hand Tossed,1-Topping,Green Peppers,per serving,4.5,0,0,0,0,0,0,0,0,0,0,0
6" PERSONAL,Personal,Hand Tossed,1-Topping,Ham,per serving,9,10,0,0,0,0,5,125,0,0,0,2
6" PERSONAL,Personal,Hand Tossed,1-Topping,Banana Peppers,per serving,4.5,0,0,0,0,0,0,60,0,0,0,0
6" PERSONAL,Personal,Hand Tossed,1-Topping,Jalapeño Peppers,per serving,4.5,0,0,0,0,0,0,75,0,0,0,0
6" PERSONAL,Personal,Hand Tossed,1-Topping,Mushrooms,per serving,4.5,0,0,0,0,0,0,0,0,0,0,0
6" PERSONAL,Personal,Hand Tossed,1-Topping,Onions,per serving,4.5,0,0,0,0,0,0,0,0,0,0,0
6" PERSONAL,Personal,Hand Tossed,1-Topping,Pepperoni,per serving,7,30,25,3,1,0,5,135,0,0,0,2
6" PERSONAL,Personal,Hand Tossed,1-Topping,Extra-Large Pepperoni,per serving,9,45,35,4,1.5,0,10,160,0,0,0,2
6" PERSONAL,Personal,Hand Tossed,1-Topping,Philly Steak,per serving,7,10,5,0.5,0,0,5,80,0,0,0,1
6" PERSONAL,Personal,Hand Tossed,1-Topping,Pineapple,per serving,4.5,0,0,0,0,0,0,0,1,0,1,0
6" PERSONAL,Personal,Hand Tossed,1-Topping,Provolone Cheese,per serving,11,35,20,2.5,1.5,0,10,50,1,0,0,3
6" PERSONAL,Personal,Hand Tossed,1-Topping,Salami,per serving,12,30,20,2,1,0,5,150,1,0,0,2
6" PERSONAL,Personal,Hand Tossed,1-Topping,Sausage,per serving,7,20,15,1.5,0.5,0,5,10,0,0,0,1
6" PERSONAL,Personal,Hand Tossed,1-Topping,Shredded Parmesan Asiago,per serving,7,25,15,2,1,0,5,60,1,0,0,2
6" PERSONAL,Personal,Hand Tossed,1-Topping,Tomatoes,per serving,19,0,0,0,0,0,0,0,1,0,0,0
6" PERSONAL,Personal,Hand Tossed,1-Topping,Anchovies*,per serving,14,25,10,1,0,0,10,840,0,0,0,4
6" PERSONAL,Personal,Hand Tossed,1-Topping,Green Olives*,per serving,4.5,0,0,0,0,0,0,70,0,0,0,0
Small,Small,Gluten Free,Crust,Gluten Free,1/3 of pizza,60,130,10,1.5,0,0,0,140,28,1,3,2
Small,Small,Gluten Free,Sauce,Pizza Sauce,per serving,28,15,0,0,0,0,0,100,3,1,1,1
Small,Small,Gluten Free,Sauce,Alfredo Sauce,per serving,14,35,30,3,2,0,10,85,0,0,0,0
Small,Small,Gluten Free,Sauce,BBQ Sauce,per serving,14,25,0,0,0,0,0,180,6,0,5,0
Small,Small,Gluten Free,Sauce,Garlic Parmesan White Sauce,per serving,14,60,60,6,1,0,5,135,1,0,0,0
Small,Small,Gluten Free,Sauce,Hearty Marinara Sauce,per serving,28,15,0,0,0,0,0,180,3,1,2,1
Small,Small,Gluten Free,Sauce,Ranch,per serving,28,70,60,7,1,0,5,120,1,0,1,0
Small,Small,Gluten Free,Sauce,Donair Sauce*,per serving,28,45,5,0,0,0,0,20,10,0,8,1
Small,Small,Gluten Free,Cheese Only,Light Cheese,per serving,24,70,40,4.5,3,0,15,140,1,0,0,6
Small,Small,Gluten Free,Cheese Only,Regular Cheese,per serving,47,140,80,9,6,0,30,280,2,0,0,11
Small,Small,Gluten Free,Cheese Only,Extra Cheese,per serving,66,190,120,13,8,0,45,390,3,1,0,16
Small,Small,Gluten Free,Cheese Only,Double Cheese,per serving,66,190,120,13,8,0,45,390,3,1,0,16
Small,Small,Gluten Free,Cheese Only,Triple Cheese,per serving,82,240,140,16,10,0.5,55,490,4,1,0,20
Small,Small,Gluten Free,Cheese With Toppings,Light Cheese,per serving,24,70,40,4.5,3,0,15,140,1,0,0,6
Small,Small,Gluten Free,Cheese With Toppings,Regular Cheese,per serving,33,100,60,6,4,0,20,200,2,0,0,8
Small,Small,Gluten Free,Cheese With Toppings,Extra Cheese,per serving,47,140,80,9,6,0,30,280,2,0,0,11
Small,Small,Gluten Free,Cheese With Toppings,Double Cheese,per serving,66,190,120,13,8,0,45,390,3,1,0,16
Small,Small,Gluten Free,Cheese With Toppings,Triple Cheese,per serving,82,240,140,16,10,0.5,55,490,4,1,0,20
Small,Small,Gluten Free,1-Topping,White Processed Cheddar Cheese,per serving,19,60,40,4.5,3,0,15,370,1,0,0,3
Small,Small,Gluten Free,1-Topping,Bacon Strip Crumble,per serving,14,60,35,4,1.5,0,15,260,1,0,0,5
Small,Small,Gluten Free,1-Topping,Beef Crumble,per serving,24,70,60,6,2.5,0,20,180,0,0,0,3
Small,Small,Gluten Free,1-Topping,Black Olives,per serving,14,20,15,2,0,0,0,0,0,0,0,0
Small,Small,Gluten Free,1-Topping,Cheddar Cheese,per serving,9,40,30,3,2,0,10,65,0,0,0,2
Small,Small,Gluten Free,1-Topping,Chicken,per serving,24,30,5,0.5,0,0,10,125,1,0,0,5
Small,Small,Gluten Free,1-Topping,Feta Cheese,per serving,9,25,20,2,1.5,0,5,150,0,0,0,2
Small,Small,Gluten Free,1-Topping,Green Peppers,per serving,14,0,0,0,0,0,0,0,1,0,0,0
Small,Small,Gluten Free,1-Topping,Ham,per serving,21,20,5,0.5,0,0,10,270,0,0,0,3
Small,Small,Gluten Free,1-Topping,Banana Peppers,per serving,14,0,0,0,0,0,0,210,1,0,0,0
Small,Small,Gluten Free,1-Topping,Jalapeño Peppers,per serving,14,0,0,0,0,0,0,260,1,0,0,0
Small,Small,Gluten Free,1-Topping,Mushrooms,per serving,24,5,0,0,0,0,0,0,1,0,0,1
Small,Small,Gluten Free,1-Topping,Onions,per serving,14,5,0,0,0,0,0,0,1,0,1,1
Small,Small,Gluten Free,1-Topping,Pepperoni,per serving,12,50,40,4.5,2,0,10,220,0,0,0,3
Small,Small,Gluten Free,1-Topping,Extra-Large Pepperoni,per serving,13,60,50,5,2,0,10,210,0,0,0,20
Small,Small,Gluten Free,1-Topping,Philly Steak,per serving,19,30,15,1.5,0.5,0,10,220,1,0,0,3
Small,Small,Gluten Free,1-Topping,Pineapple,per serving,24,15,0,0,0,0,0,0,4,0,4,0
Small,Small,Gluten Free,1-Topping,Provolone Cheese,per serving,9,30,20,2,1.5,0,5,45,1,0,0,2
Small,Small,Gluten Free,1-Topping,Salami,per serving,27,70,45,5,2.5,0,15,320,2,0,0,4
Small,Small,Gluten Free,1-Topping,Roasted Red Pepper,per serving,14,5,0,0,0,0,0,20,1,0,0,0
Small,Small,Gluten Free,1-Topping,Sausage,per serving,24,70,50,6,2,0,15,30,1,0,0,3
Small,Small,Gluten Free,1-Topping,Shredded Parmesan Asiago,per serving,9,35,20,2.5,1.5,0,10,80,1,0,0,3
Small,Small,Gluten Free,1-Topping,Tomatoes,per serving,19,0,0,0,0,0,0,0,1,0,0,0
Small,Small,Gluten Free,1-Topping,Donair Meat*,per serving,79,200,110,12,5,0,50,710,10,1,1,11
Small,Small,Gluten Free,1-Topping,Green Olive*,per serving,14,15,10,1,0,0,0,230,1,0,0,0
Small,Small,Thin Crust,Crust,Hand Tossed (Thin),1/4 of pizza,29,110,40,4.5,1,0,0,15,14,2,1,3
Small,Small,Thin Crust,Sauce,Pizza Sauce,per serving,21,10,0,0,0,0,0,75,2,1,1,0
Small,Small,Thin Crust,Sauce,Alfredo Sauce,per serving,11,25,20,2.5,1.5,0,5,65,1,0,0,1
Small,Small,Thin Crust,Sauce,BBQ Sauce,per serving,11,20,0,0,0,0,0,135,4,0,4,0
Small,Small,Thin Crust,Sauce,Garlic Parmesan White Sauce,per serving,11,45,45,5,1,0,5,100,1,0,0,0
Small,Small,Thin Crust,Sauce,Hearty Marinara Sauce,per serving,21,10,0,0,0,0,0,135,2,0,1,0
Small,Small,Thin Crust,Sauce,Ranch,per serving,11,50,45,5,1,0,0,90,0,0,0,0
Small,Small,Thin Crust,Sauce,Donair Sauce*,per serving,21,35,0,0,0,0,0,15,7,0,6,0
Small,Small,Thin Crust,Cheese Only,Light Cheese,per serving,18,50,30,3.5,2,0,10,105,1,0,0,4
Small,Small,Thin Crust,Cheese Only,Regular Cheese,per serving,35,100,60,7,4.5,0,25,210,2,0,0,9
Small,Small,Thin Crust,Cheese Only,Extra Cheese,per serving,50,140,90,10,6,0,30,290,2,0,0,12
Small,Small,Thin Crust,Cheese Only,Double Cheese,per serving,50,140,90,10,6,0,30,290,2,0,0,12
Small,Small,Thin Crust,Cheese Only,Triple Cheese,per serving,62,180,110,12,8,0,40,360,3,1,0,15
Small,Small,Thin Crust,Cheese With Toppings,Light Cheese,per serving,18,50,30,3.5,2,0,10,105,1,0,0,4
Small,Small,Thin Crust,Cheese With Toppings,Regular Cheese,per serving,25,70,45,5,3,0,15,150,1,0,0,6
