Category,Menu Item,Serving Size,Amount (g),Calories (kcal),Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fibre (g),Sugar (g),Protein (g)
SIDES,Fries (Small),1 serving,156,324,21.4,1.63,0.400,0,663,35.6,2.3,1.1,2.3
SIDES,Fries (Medium),1 serving,343,710,46.9,3.56,0.870,0,1459,78.3,5.0,2.5,5.1
SIDES,Fries (Large),2 servings,250,518,34.3,2.60,0.640,0,1061,56.9,3.6,1.8,3.7
SIDES,Taters (Small),1 serving,199,470,24.5,2.35,0.09,0,611,63.0,6.6,1.9,9.4
SIDES,Taters (Medium),1 serving,510,1209,62.9,6.00,0.2,0,1571,162.0,16.9,4.8,24.2
SIDES,Taters (Large),2 servings,354,840,437.0,4.20,0.17,0,1091,112.5,11.8,3.4,16.8
SIDES,Fries Poutine,1 serving,372,668,44.7,12.60,1.5,59,1881,54.6,3.0,2.6,18.2
SIDES,Taters Poutine,1 serving,372,726,41.9,12.80,1.05,59,1648,72.3,6.8,2.9,24.7
SIDES,Taters Poutine and Pop-ins,1 serving,429,820,44.3,13.20,1.1,86,1838,78.4,7.0,3.0,36.0
SIDES,Taters Poutine and Pulled Chicken,1 serving,457,869,50.0,14.72,1.1,105,2021,75.4,6.9,2.9,39.7
SIDES,Mashed Potatoes (Individual),1 serving,255,152,2.5,1.50,0,7,743,30.3,1.6,0.4,3.5
SIDES,Mashed Potatoes (Large),4 servings,234,149,2.5,1.60,0,8,581,30.0,1.6,0.14,3.4
SIDES,Coleslaw (Small),1 serving,108,122,8.3,0.70,0.08,7,296,11.4,2.0,8.3,0.2
SIDES,Coleslaw (Medium),1 serving,190,216,14.6,1.21,0.140,12,522,20.0,3.6,14.7,0.4
SIDES,Coleslaw (Large),2 servings,155,176,11.9,1.00,0.100,10,426,16.4,2.9,12.0,0.3
SIDES,Macaroni Salad (Small),1 serving,102,211,12.4,2.20,0.220,15,211,23.3,0.7,7.3,2.9
SIDES,Macaroni Salad (Medium),1 serving,262,543,31.8,5.60,0.560,37,543,59.9,1.9,18.7,7.5
SIDES,Macaroni Salad (Large),2 servings,170,352,20.6,3.64,0.400,24,352,38.9,1.2,12.0,4.9
SIDES,Gravy (Small),1 serving,115,37,0.5,0.0,0.0,0.0,625.0,7.2,0.2,0.8,1.0
SIDES,Gravy (Medium),1 serving,227,73,1.0,0.09,0,0,1233,14.2,0.3,1.5,1.9
SIDES,Gravy (Large),2 servings,227,73,1.0,0.09,0,0,1233,14.2,0.3,1.5,1.9
SIDES,Biscuit,1 serving,64,241,15.8,9.60,0.23,15,426,23.0,1.0,2.0,3.0
CHICKEN,Thigh,1 piece,133,240,16.0,3.50,0.1,95,430,4.0,0.0,0.0,19.0
CHICKEN,Side Breast,1 piece,172,241,12.0,2.00,0.1,105,570,2.0,0.0,0.0,32.0
CHICKEN,Wing,1 piece,86,160,10.0,2.00,0,65,370,4.0,0.0,0.0,14.0
CHICKEN,Drumstick,1 piece,70,90,5.0,1.00,0,55,250,1.0,0.0,0.0,11.0
CHICKEN,Centre Breast,1 piece,170,330,16.0,2.50,0.1,125,820,7.0,0.0,0.0,39.0
CHICKEN,2 PC: Drumstick and Side Breast,1 serving,242,330,17.0,3.00,0.1,160,820,3.0,0.0,0.0,43.0
CHICKEN,2 PC: Thigh and Wing,1 serving,219,389,28.8,6.30,0.3,128,800,8.0,0.0,0.0,33.0
CHICKEN,3 PC: Thigh; Side Breast and Wing,1 serving,391,641,38.0,7.50,0.2,265,1370,10.0,0.0,0.0,65.0
CHICKEN,3 PC: Thigh; Side Breast; and Drumstick,1 serving,375,571,33.0,7.00,0.2,255,1250,7.0,0.0,0.0,62.0
CHICKEN,4 PC: Thigh; Drum; Wing; and Side Breast,2 servings,230,366,21.5,4.50,0.1,160,810,5.5,0.0,0.0,38.0
CHICKEN,5 PC: Thigh; Drum; Wing; 2 Side Breast,2 servings,317,486,27.5,5.50,0.15,213,1095,6.5,0.0,0.0,54.0
CHICKEN,5 PC: 2 Thighs; Drum; Wing; and Side Breast,2 servings,297,485,29.5,6.25,0.15,208,1025,7.5,0.0,0.0,47.5
CHICKEN,Fan Favorite 6PC: 2 Thighs; Drum; 2 Wing; and Side Breast,4 servings,352,725,43.5,10.75,0.37,106,1525,5.9,0.0,0.0,31.0
CHICKEN,9 PC: 2 Thighs; 2 Drum; 2 Wing; 2 Side Breast; Centre,4 servings,273,448,25.5,5.10,0.13,191,1015,5.5,0.0,0.0,48.0
CHICKEN,13 PC: 3 Thigh; 3 Drum; 3 Wing; 3 Side Breast; Centre,6 servings,259,420,24.2,9.42,0.12,181,947,5.5,0.0,0.0,44.5
CHICKEN,18 PC: 4 Thigh; 4 Drum; 4 Wing; 4 Side Breast; 2 Centre,9 servings,243,398,22.7,4.60,0.11,170,902,4.9,0.0,0.0,42.4
CHICKEN,27 PC: 6 Thigh; 6 Drum; 6 Wing; 6 Side Breast; 3 Centre,14 servings,234,384,21.9,4.40,0.11,164,870,4.7,0.0,0.0,41.0
SANDWICHES & EXTRAS,Big Mary,1 serving,249,596,31.7,4.00,0.600,72,655,44.3,1.9,3.5,33.0
SANDWICHES & EXTRAS,Spicy Big Mary,1 serving,250,598,31.0,3.00,0.400,75,802,45.6,2.0,3.5,33.0
SANDWICHES & EXTRAS,Buffalo Mary Sandwich,1 serving,320,700,31.0,4.50,0.4,75,1560,65.0,2.0,25.0,35.0
SANDWICHES & EXTRAS,3 PC: Chicken Tenders,1 serving,128,394,30.6,2.50,0.7,50,160,8.6,0.4,0.1,20.8
SANDWICHES & EXTRAS,3 PC: Buffalo Chicken Tenders,1 serving,213,522,32.0,3.10,0.7,50,1492,34.0,0.4,22.8,21.4
SANDWICHES & EXTRAS,5 PC: Chicken Tenders,1 serving,213,657,51.0,4.20,1.2,83,267,14.3,0.7,0.1,34.7
SANDWICHES & EXTRAS,5 PC: Buffalo Chicken Tenders,1 serving,326,827,53.0,5.00,1.2,83,2043,48.0,0.7,30.0,35.4
SANDWICHES & EXTRAS,Chicken Wings,1 serving,340,533,35.0,7.00,0.2,58,1550,65.0,2.0,19.0,19.0
SNACK MENU,Mash-up Bowl,1 serving,405,336,9.4,3.80,0,35,1337,48.7,3.3,1.1,15.7
SNACK MENU,Mini Mary,1 serving,106,355,25.6,3.22,0.5,24,348,21.2,0.7,2.2,10.3
SNACK MENU,Spicy Mini Mary,1 serving,106,355,25.0,2.16,0.3,27,348,21.9,0.7,2.2,10.3
SNACK MENU,Crispy Chicken Twists,2 pieces,138,419,23.8,4.60,0,26,757,37.3,1.1,3.3,13.6
SNACK MENU,Chicken Thai Pop-ins (Kids),1 serving,120,204,3.8,0.53,0,43,541,22.5,0.5,10.8,18.3
SNACK MENU,Chicken Thai Pop-ins (Regular),1 serving,241,408,7.6,1.05,0,86,1081,45.0,0.9,21.6,36.6
SNACK MENU,Chicken Thai Pop-ins (Large),1 serving,347,586,11.4,1.58,0,129,1504,61.1,1.4,27.1,54.8
SNACK MENU,Chicken Pop-ins (Kids),1 serving,91,151,4.0,0.5,0.1,43,446,10.0,4.7,0.0,18.2
SNACK MENU,Chicken Pop-ins (Regular),1 serving,181,302,7.7,1.06,0.1,86,892,19.4,1.0,0.2,36.5
SNACK MENU,Chicken Pop-ins (Large),1 serving,272,454,11.5,1.60,0.2,129,1338,29.0,1.4,0.3,54.7
