Item Name,Source URL,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Potassium (mg),Calcium (% DV),Iron (% DV),Vitamin A (% DV),Vitamin C (% DV),Vitamin D (% DV),Contains Allergens,May Contain Allergens
Hamburger,https://www.mcdonalds.com/ca/en-ca/product/hamburger.html,100 g,240 Cals,8 g,3 g,0.2 g,25 mg,490 mg,32 g,2 g,7 g,12 g,175 mg,2,14,0,,0,"Mustard, Wheat",
Cheeseburger,https://www.mcdonalds.com/ca/en-ca/product/cheeseburger.html,113 g,290 Cals,12 g,5 g,0.3 g,35 mg,670 mg,32 g,2 g,7 g,14 g,200 mg,8,14,0,,0,"Milk, Mustard, Soy, Wheat",
McDouble,https://www.mcdonalds.com/ca/en-ca/product/mcdouble.html,149 g,380 Cals,18 g,8 g,0.5 g,55 mg,840 mg,34 g,2 g,7 g,21 g,300 mg,8,19,0,,0,"Milk, Mustard, Soy, Wheat",
Junior Chicken,https://www.mcdonalds.com/ca/en-ca/product/junior-chicken.html,132 g,380 Cals,21 g,3.5 g,0.2 g,35 mg,570 mg,36 g,2 g,5 g,12 g,400 mg,2,14,0,,0,"Egg, Mustard, Wheat",
Sausage McMuffin,https://www.mcdonalds.com/ca/en-ca/product/sausage-mcmuffin.html,111 g,370 Cals,22 g,9 g,0.3 g,50 mg,820 mg,28 g,2 g,2 g,15 g,175 mg,13,13,0,,0,"Barley, Milk, Soy, Wheat",
World Famous Fries – Small,https://www.mcdonalds.com/ca/en-ca/product/french-fries-small-mcpicks.html,75 g,240 Cals,11 g,1.5 g,0 g,0 mg,180 mg,31 g,3 g,0 g,3 g,400 mg,0,3,0,,0,,
Vanilla Cone,https://www.mcdonalds.com/ca/en-ca/product/cone-vanilla.html,125 ml,240 Cals,6 g,4 g,0.2 g,25 mg,150 mg,40 g,0 g,30 g,6 g,10 mg,12,2,6,,0,"Milk, Soy, Wheat",
Baked Apple Pie,https://www.mcdonalds.com/ca/en-ca/product/baked-apple-pie-200553.html,158 g,540 Cals,26 g,17 g,0.1 g,0 mg,270 mg,68 g,3 g,21 g,6 g,125 mg,2,31,0,,0,"Soy, Wheat",
Cheeseburger Deluxe,https://www.mcdonalds.com/ca/en-ca/product/cheeseburger-deluxe.html,154 g,340 Cals,17 g,6 g,0.4 g,40 mg,800 mg,33 g,2 g,8 g,15 g,250 mg,8,14,11,,0,"Egg, Milk, Mustard, Soy, Wheat",
Double Hamburger,https://www.mcdonalds.com/ca/en-ca/product/double-hamburger.html,130 g,320 Cals,14 g,6 g,0.4 g,45 mg,610 mg,32 g,2 g,7 g,18 g,300 mg,2,19,0,,0,"Mustard, Wheat",
Big Mac,https://www.mcdonalds.com/ca/en-ca/product/big-mac-sandwich.html,216 g,570 Cals,32 g,10 g,0.5 g,70 mg,920 mg,46 g,3 g,8 g,24 g,350 mg,10,25,0,,0,"Egg, Milk, Mustard, Sesame Seeds, Soy, Wheat",
Double Big Mac,https://www.mcdonalds.com/ca/en-ca/product/double-big-mac-200946.html,289 g,740 Cals,44 g,16 g,1 g,115 mg,1020 mg,48 g,3 g,9 g,38 g,550 mg,10,33,6,,0,"Egg, Milk, Mustard, Sesame Seeds, Soy, Wheat",
Double Cheeseburger,https://www.mcdonalds.com/ca/en-ca/product/double-cheeseburger.html,161 g,420 Cals,21 g,11 g,0.5 g,65 mg,1010 mg,34 g,2 g,7 g,24 g,300 mg,13,19,0,,0,"Milk, Mustard, Soy, Wheat",
Quarter Pounder with Cheese,https://www.mcdonalds.com/ca/en-ca/product/quarter-pounder-with-cheese.html,201 g,530 Cals,27 g,13 g,1 g,80 mg,1050 mg,41 g,2 g,10 g,29 g,400 mg,13,25,0,,0,"Milk, Mustard, Sesame Seeds, Soy, Wheat",
Quarter Pounder without Cheese,https://www.mcdonalds.com/ca/en-ca/product/quarter-pounder-without-cheese.html,172 g,430 Cals,20 g,8 g,0.5 g,60 mg,660 mg,40 g,2 g,9 g,24 g,350 mg,2,25,0,,0,"Mustard, Sesame Seeds, Wheat",
Double Quarter Pounder with Cheese,https://www.mcdonalds.com/ca/en-ca/product/double-quarter-pounder-with-cheese.html,278 g,750 Cals,44 g,21 g,1.5 g,145 mg,1210 mg,42 g,3 g,10 g,47 g,600 mg,15,36,6,,0,"Milk, Mustard, Sesame Seeds, Soy, Wheat",
