Menu Item,Calories (kcal),Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Total Sugars (g),Protein (g)
Original Blend Coffee - Small,3,0,0,0,0,0,0,0,0,0
Original Blend Coffee - Medium,4,0,0,0,0,0,0,0,0,0
Original Blend Coffee - Large,5,0,0,0,0,0,0,0,0,0
Original Blend Coffee - X Large,5,0,0,0,0,0,0,0,0,0
Dark Roast Coffee - Small,3,0,0,0,0,0,0,0,0,0
Dark Roast Coffee - Medium,4,0,0,0,0,0,0,0,0,0
Dark Roast Coffee - Large,5,0,0,0,0,0,0,0,0,0
Dark Roast Coffee - X Large,5,0,0,0,0,0,0,0,0,0
Decaf Coffee - Small,3,0,0,0,0,0,0,0,0,0
Decaf Coffee - Medium,4,0,0,0,0,0,0,0,0,0
Decaf Coffee - Large,5,0,0,0,0,0,0,0,0,0
Decaf Coffee - X Large,5,0,0,0,0,0,0,0,0,0
Regular Coffee - Small,70,4,2.5,0.1,10,25,8,0,8,1
Regular Coffee - Medium,100,6,4,0.2,15,40,11,0,11,1
Regular Coffee - Large,120,8,5,0.2,20,50,14,0,13,1
Regular Coffee - X Large,150,9,6,0.3,25,55,18,0,17,1
Double Double Coffee - Small,130,8,4.5,0.2,20,45,16,0,16,1
Double Double Coffee  Medium,200,13,8,0.4,35,80,22,0,21,2
Double Double Coffee - Large,250,15,10,0.5,40,95,28,0,27,2
Double Double Coffee - X Large,300,18,11,0.5,50,115,35,0,34,3
Cappuccino - Small,80,3,2,0.1,10,70,9,0,8,6
Cappuccino - Medium,120,4.5,3,0.2,15,95,12,0,11,8
Cappuccino - Large,170,4,6,0.2,25,135,16,0,15,11
Latte - Small,90,3.5,2,0.1,15,80,10,0,9,6
Latte - Medium,140,3.5,3.5,0.2,20,115,,0,13,1
Latte - Large,190,7,4.5,0.3,30,160,19,0,18,13
Protein Latte - Small,110,4,2,0.1,20,50,6,0,6,13
Protein Latte - Medium,170,6,4,0.2,30,80,10,0,9,20
Protein Latte - Large,230,8,5,0.2,40,105,13,1,12,27
Protein Latte with Sugar Free Vanilla Syrup - Small,120,4,2,0.1,20,65,9,0,6,13
Protein Latte with Sugar Free Vanilla Syrup Medium,190,6,4,0.2,30,100,14,0,9,20
Protein Latte with Sugar Free Vanilla Syrup - Large,250,8,5,0.2,40,140,19,1,12,27
Coffee Mocha - Small,90,1,1,0,0,75,20,1,14,1
Coffee Mocha - Medium,110,2,1.5,0,0,95,25,1,17,1
Coffee Mocha - Large,150,2,2,0,0,125,33,1,23,1
Coffee Mocha - X Large,200,3,2.5,0,0,160,44,1,31,1
French Vanilla Cappuccino - Small,260,10,10,0,0,180,39,1,30,3
French Vanilla Cappuccino - Medium,330,12,12,0,0,230,50,1,39,3
French Vanilla Cappuccino - Large,430,17,16,0,0,310,66,1,51,5
French Vanilla Cappuccino - X Large,570,22,22,0,0,410,88,1,68,6
Hot Chocolate - Small,220,3,3,0,0,180,48,1,34,1
Hot Chocolate - Medium,280,4,3.5,0,0,230,62,2,43,1
Hot Chocolate - Large,380,5,4.5,0,0,310,82,2,58,2
Hot Chocolate - X Large,500,7,6,0,0,410,108,3,76,3
White Hot Chocolate Small,250,9,8,0,0,250,43,0,36,1
White Hot Chocolate - Medium,330,11,10,0.1,0,310,55,0,45,1
