Item Name,Source URL
Hamburger,https://www.mcdonalds.com/ca/en-ca/product/hamburger.html
Cheeseburger,https://www.mcdonalds.com/ca/en-ca/product/cheeseburger.html
McDouble,https://www.mcdonalds.com/ca/en-ca/product/mcdouble.html
Junior Chicken,https://www.mcdonalds.com/ca/en-ca/product/junior-chicken.html
Sausage McMuffin,https://www.mcdonalds.com/ca/en-ca/product/sausage-mcmuffin.html
World Famous Fries – Small,https://www.mcdonalds.com/ca/en-ca/product/french-fries-small-mcpicks.html
Vanilla Cone,https://www.mcdonalds.com/ca/en-ca/product/cone-vanilla.html
Baked Apple Pie,https://www.mcdonalds.com/ca/en-ca/product/baked-apple-pie-200553.html
Cheeseburger Deluxe,https://www.mcdonalds.com/ca/en-ca/product/cheeseburger-deluxe.html
Double Hamburger,https://www.mcdonalds.com/ca/en-ca/product/double-hamburger.html
Big Mac,https://www.mcdonalds.com/ca/en-ca/product/big-mac-sandwich.html
Double Big Mac,https://www.mcdonalds.com/ca/en-ca/product/double-big-mac-200946.html
Double Cheeseburger,https://www.mcdonalds.com/ca/en-ca/product/double-cheeseburger.html
Quarter Pounder with Cheese,https://www.mcdonalds.com/ca/en-ca/product/quarter-pounder-with-cheese.html
Quarter Pounder without Cheese,https://www.mcdonalds.com/ca/en-ca/product/quarter-pounder-without-cheese.html
Double Quarter Pounder with Cheese,https://www.mcdonalds.com/ca/en-ca/product/double-quarter-pounder-with-cheese.html
Double Quarter Pounder without Cheese,https://www.mcdonalds.com/ca/en-ca/product/double-quarter-pounder-without-cheese.html
Quarter Pounder BLT,https://www.mcdonalds.com/ca/en-ca/product/quarter-pounder-blt.html
Double Quarter Pounder BLT,https://www.mcdonalds.com/ca/en-ca/product/double-quarter-pounder-blt.html
Spicy Saja McMuffin,https://www.mcdonalds.com/ca/en-ca/product/spicy-saja-mcmuffin.html
Mighty McGriddles,https://www.mcdonalds.com/ca/en-ca/product/mighty-mcgriddle.html
Mighty McMuffin,https://www.mcdonalds.com/ca/en-ca/product/mighty-mcmuffin.html
Spicy Egg & Hash Brown Breakfast Wrap,https://www.mcdonalds.com/ca/en-ca/product/spicy-egg-hash-brown-breakfast-wrap.html
Chicken Breakfast Wrap,https://www.mcdonalds.com/ca/en-ca/product/chicken-hash-brown-breakfast-wrap.html
"Sausage, Bacon & Egg Breakfast Wrap",https://www.mcdonalds.com/ca/en-ca/product/sausage-bacon-egg-breakfast-wrap.html
Egg 'N Cheese McMuffin,https://www.mcdonalds.com/ca/en-ca/product/egg-n-cheese-mcmuffin.html
Egg 'N Cheese McGriddles,https://www.mcdonalds.com/ca/en-ca/product/egg-n-cheese-mcgriddles.html
Egg BLT McMuffin,https://www.mcdonalds.com/ca/en-ca/product/egg-blt-mcmuffin.html
Egg BLT McMuffin with Shredded Lettuce (McDonald’s in Walmart),https://www.mcdonalds.com/ca/en-ca/product/egg-blt-mcmuffin-with-shredded-lettuce.html
Chicken McMuffin,https://www.mcdonalds.com/ca/en-ca/product/chicken-mcmuffin.html
Egg McMuffin,https://www.mcdonalds.com/ca/en-ca/product/egg-mcmuffin.html
